N.LC,Date_Code,Male.ID,Period,MaxTemp,DayRain
3,42078,B,Pre,28,2.8
0,42079,B,Pre,27,0.1
0,42080,B,Pre,28,2.0
6,42081,B,Pre,28,0.0
1,42082,B,Pre,29,0.0
3,42085,A,Pre,28,0.0
2,42086,A,Pre,27.5,0.0
4,42090,A,Pre,28,0.2
7,42091,A,Pre,29.5,0.6
2,42092,A,Pre,30,0.0
9,42093,A,Pre,29,0.0
9,42110,D,Pre,28,8.2
14,42111,D,Pre,28,0.0
17,42112,D,Pre,27,0.0
12,42113,D,Pre,29,0.0
6,42114,D,Pre,28,3.8
10,42118,C,Pre,28,0.0
7,42119,C,Pre,27.5,7.8
3,42120,C,Pre,27,0.0
6,42121,C,Pre,28,0.4
15,42122,C,Pre,26,2.4
0,42126,B,Pre,26,2.8
0,42127,B,Pre,27.5,1.0
2,42149,A,Pre,28,0.0
3,42150,A,Pre,28,4.6
1,42151,A,Pre,28,0.0
2,42152,A,Pre,26,0.0
3,42162,C,Pre,28,0.2
2,42163,C,Pre,28,0.4
1,42164,C,Pre,28.5,5.2
4,42165,C,Pre,27,0.0
12,42188,D,Pre,27,0.0
10,42189,D,Pre,27,0.0
8,42190,D,Pre,26,0.0
8,42191,D,Pre,NA,0.0
7,42192,D,Pre,28,0.0
3,42251,D,Smoke,28,0.0
4,42252,D,Smoke,28,0.0
12,42253,D,Smoke,28,0.0
2,42261,B,Smoke,29.5,0.0
7,42262,B,Smoke,28.5,0.0
0,42263,B,Smoke,29.5,0.0
1,42264,B,Smoke,31,0.0
4,42265,B,Smoke,28,0.0
5,42270,C,Smoke,28,0.0
2,42271,C,Smoke,28.5,0.0
7,42272,C,Smoke,NA,0.0
4,42274,D,Smoke,NA,0.0
3,42275,D,Smoke,NA,0.0
1,42285,A,Smoke,NA,0.0
0,42286,A,Smoke,27,0.0
1,42291,C,Smoke,29,0.0
5,42292,C,Smoke,30,0.0
0,42292,A,Smoke,30,0.0
2,42293,A,Smoke,29,0.0
1,42294,A,Smoke,28,0.0
