Date,Time,Period,Spontaneous
3/15/15,052914,Pre,1
3/15/15,055216,Pre,1
3/15/15,103756,Pre,1
3/18/15,123814,Pre,0
3/18/15,132434,Pre,0
3/18/15,141806,Pre,1
3/18/15,145158,Pre,1
3/18/15,151940,Pre,1
3/19/15,054022,Pre,1
3/23/15,090224,Pre,1
3/28/15,073258,Pre,1
3/30/15,090430,Pre,1
3/31/15,045814,Pre,1
4/16/15,082736,Pre,1
4/17/15,140500,Pre,1
4/24/15,130716,Pre,1
4/28/15,061624,Pre,1
5/25/15,1021,Pre,1
5/25/15,1101,Pre,1
5/26/15,0436,Pre,0
5/26/15,0540,Pre,1
5/26/15,113950,Pre,1
5/27/15,0440,Pre,1
5/27/15,0530,Pre,1
5/28/15,0523,Pre,1
5/28/15,153120,Pre,1
6/6/15,111930,Pre,1
6/7/15,054820,Pre,0
6/7/15,062626,Pre,1
6/7/15,122800,Pre,1
6/8/15,044530,Pre,1
6/8/15,053940,Pre,1
6/8/15,071400,Pre,0
6/9/15,051238,Pre,0
6/10/15,140828,Pre,0
6/10/15,144516,Pre,0
6/10/15,144516,Pre,0
6/10/15,151528,Pre,1
7/3/15,050228,Pre,1
7/3/15,083700,Pre,1
7/3/15,111028,Pre,1
7/3/15,125104,Pre,1
7/3/15,131532,Pre,1
7/4/15,043250,Pre,1
7/4/15,092924,Pre,0
7/4/15,095234,Pre,1
7/4/15,103510,Pre,0
7/4/15,112314,Pre,1
7/4/15,135806,Pre,1
7/4/15,144246,Pre,0
7/5/15,050402,Pre,1
7/5/15,095652,Pre,1
7/5/15,104846,Pre,1
7/5/15,105320,Pre,0
7/5/15,113738,Pre,0
7/5/15,131308,Pre,1
7/5/15,144640,Pre,1
7/6/15,051134,Pre,0
7/6/15,100732,Pre,1
7/6/15,132416,Pre,0
7/7/15,043348,Pre,1
7/7/15,061240,Pre,1
7/7/15,081212,Pre,1
7/7/15,094026,Pre,1
9/4/15,1138,Smoke,1
9/4/15,1512,Smoke,1
9/4/15,1618,Smoke,1
9/5/15,1607,Smoke,0
9/6/15,0440,Smoke,0
9/6/15,0810,Smoke,1
9/6/15,0927,Smoke,0
9/6/15,1020,Smoke,0
9/6/15,1058,Smoke,1
9/6/15,1135,Smoke,1
9/6/15,1200,Smoke,1
9/6/15,1225,Smoke,0
9/6/15,1246,Smoke,0
9/6/15,1319,Smoke,1
9/6/15,1355,Smoke,1
9/6/15,1508,Smoke,1
9/14/15,1132,Smoke,1
9/15/15,0444,Smoke,1
9/15/15,1433,Smoke,0
9/15/15,1500,Smoke,1
9/15/15,1519,Smoke,1
9/15/15,1530,Smoke,1
9/15/15,1545,Smoke,1
9/15/15,1559,Smoke,1
9/17/15,1055,Smoke,1
9/18/15,123318,Smoke,1
9/18/15,1427,Smoke,1
9/23/15,0811,Smoke,0
9/23/15,1144,Smoke,1
9/23/15,1428,Smoke,1
9/24/15,0511,Smoke,1
9/24/15,0641,Smoke,1
9/24/15,1356,Smoke,1
9/25/15,045234,Smoke,0
9/25/15,0505,Smoke,1
9/26/15,0500,Smoke,1
9/26/15,0934,Smoke,1
9/26/15,1137,Smoke,1
9/26/15,1205,Smoke,1
9/27/15,0519,Smoke,1
9/27/15,0933,Smoke,1
9/27/15,1228,Smoke,0
9/27/15,135038,Smoke,1
9/28/15,0944,Smoke,1
9/28/15,1242,Smoke,1
9/28/15,1449,Smoke,0
10/8/15,063240,Smoke,1
10/9/15,044106,Smoke,1
10/14/15,0449,Smoke,0
10/15/15,080950,Smoke,1
10/15/15,092250,Smoke,1
10/15/15,123224,Smoke,1
10/16/15,134938,Smoke,0
10/16/15,143632,Smoke,1
10/17/15,141854,Smoke,1
11/18/15,145534,Post,1
11/19/15,050234,Post,1
11/23/15,103306,Post,1
11/24/15,120928,Post,1
11/24/15,151858,Post,1
11/25/15,113656,Post,0
11/25/15,122254,Post,0
11/26/15,092726,Post,1
12/6/15,044754,Post,1
