Date,Period,FAI,MaxTemp,DayRain
3/15/15,Pre,2.54,28,2.8
3/16/15,Pre,2.54,27,0.1
3/17/15,Pre,2.54,28,2.0
3/18/15,Pre,2.54,28,0.0
3/19/15,Pre,2.54,29,0.0
3/22/15,Pre,2.54,28,0.0
3/23/15,Pre,2.54,27.5,0.0
3/27/15,Pre,2.54,28,0.2
3/28/15,Pre,2.54,29.5,0.6
3/29/15,Pre,2.54,30,0.0
3/30/15,Pre,2.54,29,0.0
4/16/15,Pre,2.19,28,8.2
4/17/15,Pre,2.19,28,0.0
4/18/15,Pre,2.19,27,0.0
4/19/15,Pre,2.19,29,0.0
4/20/15,Pre,2.19,28,3.8
4/24/15,Pre,2.19,28,0.0
4/25/15,Pre,2.19,27.5,7.8
4/26/15,Pre,2.19,27,0.0
4/27/15,Pre,2.19,28,0.4
4/28/15,Pre,2.19,26,2.4
5/2/15,Pre,1.95,26,2.8
5/3/15,Pre,1.95,27.5,1.0
5/25/15,Pre,1.95,28,0.0
5/26/15,Pre,1.95,28,4.6
5/27/15,Pre,1.95,28,0.0
5/28/15,Pre,1.95,26,0.0
6/7/15,Pre,2.57,28,0.2
6/8/15,Pre,2.57,28,0.4
6/9/15,Pre,2.57,28.5,5.2
6/10/15,Pre,2.57,27,0.0
7/3/15,Pre,4.42,27,0.0
7/4/15,Pre,4.42,27,0.0
7/5/15,Pre,4.42,26,0.0
7/6/15,Pre,4.42,NA,0.0
7/7/15,Pre,4.42,28,0.0
9/4/15,Smoke,4.48,28,0.0
9/5/15,Smoke,4.48,28,0.0
9/6/15,Smoke,4.48,28,0.0
9/14/15,Smoke,4.48,29.5,0.0
9/15/15,Smoke,4.48,28.5,0.0
9/16/15,Smoke,4.48,29.5,0.0
9/17/15,Smoke,4.48,31,0.0
9/18/15,Smoke,4.48,28,0.0
9/23/15,Smoke,4.48,28,0.0
9/24/15,Smoke,4.48,28.5,0.0
9/25/15,Smoke,4.48,NA,0.0
9/27/15,Smoke,4.48,NA,0.0
9/28/15,Smoke,4.48,NA,0.0
10/8/15,Smoke,4.69,NA,0.0
10/9/15,Smoke,4.69,27,0.0
10/14/15,Smoke,4.69,29,0.0
10/15/15,Smoke,4.69,30,0.0
10/15/15,Smoke,4.69,30,0.0
10/16/15,Smoke,4.69,29,0.0
10/17/15,Smoke,4.69,28,0.0
11/19/15,Post,3.45,27.8,0.2
11/20/15,Post,3.45,28,0.8
11/23/15,Post,3.45,29,1.2
11/24/15,Post,3.45,34,3.2
11/25/15,Post,3.45,31,0.0
11/26/15,Post,3.45,34,0.4
11/27/15,Post,3.45,32,1.1
11/30/15,Post,3.45,32,0.0
12/1/15,Post,3.23,32.5,0.0
12/2/15,Post,3.23,26,7.8
12/6/15,Post,3.23,32.5,1.6
12/7/15,Post,3.23,31,0.0
12/8/15,Post,3.23,33.5,0.0
12/9/15,Post,3.23,31,0.0
12/10/15,Post,3.23,31.5,6.2
1/13/16,Post,2.37,33.5,0.0
