BP.perc,DC.perc,BP.01,DC.01,Random_No,Date_Code,Track,Male.ID,Period
0.815626489,0.261434016,1,1,38,42086,1131,A,Pre
0.380301551,0,1,0,82,42086,1131,A,Pre
0.672040816,0.725510204,0,1,104,42091,1168,A,Pre
0.29302072,0,0,0,51,42093,1198,A,Pre
0.420331016,0,0,0,103,42093,1198,A,Pre
0.671747531,0.15124517,1,1,35,42094,1211,A,Pre
0.330387153,0,0,0,96,42111,1244,D,Pre
0.438441429,0,0,0,129,42111,1244,D,Pre
0,0,0,0,134,42111,1244,D,Pre
0.325624877,0,1,0,14,42149,479,A,Pre
0,0.285904739,0,1,46,42149,479,A,Pre
0.669908277,0,0,0,99,42149,479,A,Pre
0.408049089,0.520393431,0,1,100,42149,479,A,Pre
0.845901268,0,0,0,118,42149,479,A,Pre
0,0,0,0,139,42149,479,A,Pre
0.868267483,0,0,0,24,42150,484,A,Pre
0.841677588,0.395107034,1,1,43,42150,484,A,Pre
0.96298021,0,0,0,133,42150,484,A,Pre
0.108522971,0,0,0,11,42150,1427,A,Pre
0,0,0,0,41,42150,1427,A,Pre
0.391317306,0.552453805,0,1,145,42150,1427,A,Pre
0.579279279,0,0,0,150,42150,1427,A,Pre
0.570234502,0,1,0,154,42152,1431,A,Pre
0,0,0,0,90,42162,1436,C,Pre
0.305178871,0,0,0,125,42162,1436,C,Pre
0,0.54422557,0,1,34,42162,1437,C,Pre
0.315020602,0,0,0,84,42162,1437,C,Pre
0.501137513,0.157355915,0,1,37,42163,1447,C,Pre
0.332279171,0.503816794,0,1,72,42163,1447,C,Pre
0.556107135,0.529554375,0,1,92,42163,1447,C,Pre
0.710459184,0,1,0,117,42163,1447,C,Pre
0.65234375,0,0,0,47,42163,1448,C,Pre
0.5,0,0,0,114,42163,1448,C,Pre
0.465263692,0,0,0,116,42163,1448,C,Pre
0.60100269,0,0,0,107,42163,1450,C,Pre
0.722624485,0,0,0,153,42163,1450,C,Pre
0,0.271650434,0,1,23,42164,1452,C,Pre
0.346775092,0,1,0,36,42164,1452,C,Pre
0.685599168,0,1,0,55,42164,1452,C,Pre
0.61837076,0.387243192,1,1,64,42164,1452,C,Pre
0.517067411,0.573314727,1,1,73,42164,1452,C,Pre
0.176987816,0.325210401,0,1,109,42164,1452,C,Pre
0.378042596,0,0,0,39,42165,1465b,C,Pre
0,0,0,0,57,42165,1465b,C,Pre
0.61833887,0,0,0,83,42165,1465b,C,Pre
0.78452621,0,0,0,89,42165,1465b,C,Pre
0.136340005,0,0,0,53,42165,1466,C,Pre
0.47327359,0,0,0,81,42189,1504,D,Pre
1.026261974,0,0,0,68,42189,1506,D,Pre
0.405107555,0,0,0,138,42189,1506,D,Pre
0,0,0,0,20,42189,1510,D,Pre
0.408904862,0,0,0,105,42190,1522,D,Pre
0.216091449,0.745548472,0,1,106,42190,1522,D,Pre
0,0,0,0,128,42190,1522,D,Pre
0.449117342,0.762201454,0,1,71,42190,1526,D,Pre
0.480675204,0.179278231,0,1,88,42191,1532,D,Pre
0,0,0,0,18,42191,1536,D,Pre
0.126107011,0,0,0,141,42191,1536,D,Pre
0.879825992,0.375838318,0,1,144,42192,1540,D,Pre
0.748285144,0,0,0,42,42329,1695,A,Post
0.63253678,0,1,0,50,42329,1695,A,Post
0.723696682,0,1,0,76,42329,1695,A,Post
0.692272053,0,0,0,91,42329,1695,A,Post
0.580818644,0,1,0,110,42329,1695,A,Post
0.660331633,0,1,0,25,42331,1702,D,Post
0.543768305,0.376721987,0,1,32,42331,1702,D,Post
0.798517774,0,1,0,56,42331,1702,D,Post
0.669910343,0.35108244,1,1,17,42332,1706,D,Post
0,0,0,0,26,42332,1706,D,Post
0.296881674,0,0,0,147,42332,1706,D,Post
0,0,0,0,127,42332,1709,D,Post
0.578804026,0,1,0,6,42333,1712,D,Post
0.436502952,0.614118829,0,1,155,42333,1712,D,Post
0.794691553,0,1,0,10,42344,1716,C,Post
0.520541144,0.410698771,0,1,48,42344,1716,C,Post
0.543273458,0,1,0,62,42344,1716,C,Post
0.692358804,0,1,0,80,42344,1716,C,Post
0.309663969,0,0,0,126,42344,1716,C,Post
0.460980435,0,1,0,142,42344,1716,C,Post
