BP.perc,DC.perc,BP.01,DC.01,Random_No,Date_Code,Track,Male.ID,Period
0.472060536,NA,1,0,151,42078,1104,B,Pre
0.835854648,0.301699938,1,1,5,42078,1105,B,Pre
0.907409365,0,1,0,27,42078,1106,B,Pre
0.803476859,0,1,0,44,42078,1106,B,Pre
1.662027154,0,1,0,95,42078,1106,B,Pre
0.933401407,0.770251872,1,1,1,42081,1118,B,Pre
0.86984767,0,1,0,49,42081,1118,B,Pre
0.614229336,0,0,0,86,42081,1118,B,Pre
0,0,0,0,123,42081,1118,B,Pre
0.831049251,0.642505353,1,1,140,42081,1118,B,Pre
0.942510034,0,1,0,152,42081,1118,B,Pre
0.702091768,0.399966262,1,1,8,42081,1119,B,Pre
0.82800879,0,1,0,94,42081,1119,B,Pre
0.23462813,0,0,0,122,42081,1119,B,Pre
0.153925784,0,0,0,54,42081,1120,B,Pre
0.631795055,0.839418013,1,1,40,42081,1121,B,Pre
0.472183957,0,0,0,74,42081,1121,B,Pre
0.736144961,0.60760835,1,1,111,42081,1121,B,Pre
0,0,0,0,135,42082,1124,B,Pre
0.815626489,0.261434016,1,1,38,42086,1131,A,Pre
0.380301551,0,1,0,82,42086,1131,A,Pre
0.672040816,0.725510204,0,1,104,42091,1168,A,Pre
0.29302072,0,0,0,51,42093,1198,A,Pre
0.420331016,0,0,0,103,42093,1198,A,Pre
0.671747531,0.15124517,1,1,35,42094,1211,A,Pre
0.330387153,0,0,0,96,42111,1244,D,Pre
0.438441429,0,0,0,129,42111,1244,D,Pre
0,0,0,0,134,42111,1244,D,Pre
0.325624877,0,1,0,14,42149,479,A,Pre
0,0.285904739,0,1,46,42149,479,A,Pre
0.669908277,0,0,0,99,42149,479,A,Pre
0.408049089,0.520393431,0,1,100,42149,479,A,Pre
0.845901268,0,0,0,118,42149,479,A,Pre
0,0,0,0,139,42149,479,A,Pre
0.868267483,0,0,0,24,42150,484,A,Pre
0.841677588,0.395107034,1,1,43,42150,484,A,Pre
